"variable","pct_missing_all","pct_missing_asp","pct_missing_cef","original_handling"
"lactate",59.1,54.3,61.2,"Median imputation + missingness indicator"
"bilirubin",40,32.6,43.3,"Median imputation + missingness indicator"
"platelets",2.9,1.4,3.6,"Median imputation only"
"bun",2.9,2.9,2.9,"Median imputation only"
"creat_baseline",2.5,2.2,2.6,"Median imputation only"
"egfr_baseline",2.5,2.2,2.6,"Median imputation only"
"wbc",2.5,0.7,3.3,"Median imputation only"
"glucose",2.5,2.2,2.6,"Median imputation only"
"bicarbonate",2.5,2.2,2.6,"Median imputation only"
"sodium",2.5,2.2,2.6,"Median imputation only"
"potassium",2.5,2.2,2.6,"Median imputation only"
"age",0,0,0,"Complete (no imputation needed)"
"female",0,0,0,"Complete (no imputation needed)"
"ckd_any",0,0,0,"Complete (no imputation needed)"
"diabetes",0,0,0,"Complete (no imputation needed)"
"hypertension",0,0,0,"Complete (no imputation needed)"
"heart_failure",0,0,0,"Complete (no imputation needed)"
"liver_disease",0,0,0,"Complete (no imputation needed)"
"cancer",0,0,0,"Complete (no imputation needed)"
"copd",0,0,0,"Complete (no imputation needed)"
"charlson",0,0,0,"Complete (no imputation needed)"
"icu_at_t0",0,0,0,"Complete (no imputation needed)"
"vasopressor",0,0,0,"Complete (no imputation needed)"
"mech_vent",0,0,0,"Complete (no imputation needed)"
"concomitant_vancomycin",0,0,0,"Complete (no imputation needed)"
"concomitant_aminoglycoside",0,0,0,"Complete (no imputation needed)"
"concomitant_loop_diuretic",0,0,0,"Complete (no imputation needed)"
"aki_at_baseline",0,0,0,"Complete (no imputation needed)"
"race_white",0,0,0,"Complete (no imputation needed)"
"race_black",0,0,0,"Complete (no imputation needed)"
"race_hispanic",0,0,0,"Complete (no imputation needed)"
